Geno,Site,ED50,Species,MMM,Relative_Threshold,Collection_temp
7,AlFahal,36.50512838,Pocillopora,30.76,5.745128384,32.1
1,Obock,37.09138747,Porites,30.9,6.191387472,26.64
2,Obock,37.60333328,Porites,30.9,6.703333284,26.64
3,Obock,36.73721234,Porites,30.9,5.837212335,26.64
4,Obock,36.83050474,Porites,30.9,5.930504737,26.64
5,Obock,37.47141808,Porites,30.9,6.571418081,26.64
6,Obock,37.37103399,Porites,30.9,6.471033987,26.64
7,Obock,36.64867881,Porites,30.9,5.74867881,26.64
1,AlQunfudhah,35.79658738,Porites,31.56,4.236587382,30.53
2,AlQunfudhah,35.8910753,Porites,31.56,4.331075295,30.53
3,AlQunfudhah,35.41133079,Porites,31.56,3.851330786,30.53
4,AlQunfudhah,35.89910881,Porites,31.56,4.339108815,30.53
5,AlQunfudhah,35.60513147,Porites,31.56,4.045131473,30.53
6,AlQunfudhah,35.67616807,Porites,31.56,4.116168068,30.53
7,AlQunfudhah,35.58157422,Porites,31.56,4.021574217,30.53
1,AlWajh,36.68727537,Porites,30.04,6.647275375,31.55
2,AlWajh,37.48777822,Porites,30.04,7.447778216,31.55
3,AlWajh,36.55034161,Porites,30.04,6.510341613,31.55
4,AlWajh,37.29875573,Porites,30.04,7.25875573,31.55
5,AlWajh,37.65682837,Porites,30.04,7.616828375,31.55
6,AlWajh,36.5312914,Porites,30.04,6.491291399,31.55
7,AlWajh,36.56564331,Porites,30.04,6.525643306,31.55
1,Yanbu,36.96478015,Porites,29.71,7.254780154,30.87
2,Yanbu,36.33850346,Porites,29.71,6.62850346,30.87
3,Yanbu,37.28755585,Porites,29.71,7.577555847,30.87
4,Yanbu,35.71852496,Porites,29.71,6.008524963,30.87
5,Yanbu,35.5399415,Porites,29.71,5.829941503,30.87
6,Yanbu,36.95240264,Porites,29.71,7.242402637,30.87
7,Yanbu,36.68677572,Porites,29.71,6.976775718,30.87
1,AlFahal,36.87209468,Porites,30.76,6.112094678,32.1
2,AlFahal,37.32196698,Porites,30.76,6.561966976,32.1
3,AlFahal,38.28401456,Porites,30.76,7.524014558,32.1
4,AlFahal,36.45731138,Porites,30.76,5.697311384,32.1
5,AlFahal,37.79505506,Porites,30.76,7.035055055,32.1
6,AlFahal,38.31383414,Porites,30.76,7.553834141,32.1
7,AlFahal,36.25600033,Porites,30.76,5.496000329,32.1
1,Obock,35.53489016,Stylophora,30.9,4.634890158,26.64
2,Obock,35.57273793,Stylophora,30.9,4.672737925,26.64
3,Obock,34.60840551,Stylophora,30.9,3.708405508,26.64
4,Obock,36.17029823,Stylophora,30.9,5.27029823,26.64
