PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh1_4,2018_July_30,30174,14,15,15,30.00,34.06,CHL,30.00,35.44,CHL,30.16,34.25,CHL,30.16,33.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,35907,14,15,21,30.00,34.06,CHL,30.00,35.38,CHL,30.16,34.25,CHL,30.16,33.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,41365,14,15,26,30.00,33.94,CHL,30.00,35.31,CHL,30.16,34.19,CHL,30.16,33.88,CHL,
2018_July_30_AlWajh1_4,2018_July_30,46822,14,15,32,30.00,33.88,CHL,30.00,35.25,CHL,30.16,34.13,CHL,30.16,33.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,52283,14,15,37,30.00,33.94,CHL,30.00,35.25,CHL,30.16,34.13,CHL,30.16,33.88,CHL,
2018_July_30_AlWajh1_4,2018_July_30,57741,14,15,43,30.00,33.94,CHL,30.00,35.13,CHL,30.16,34.13,CHL,30.16,33.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,63197,14,15,48,30.00,33.88,CHL,30.00,35.00,CHL,30.24,34.19,CHL,30.24,33.88,CHL,
2018_July_30_AlWajh1_4,2018_July_30,68910,14,15,54,30.00,33.94,CHL,30.00,34.88,CHL,30.24,34.19,CHL,30.24,33.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,74374,14,15,59,30.00,34.06,CHL,30.00,34.88,CHL,30.24,34.19,CHL,30.24,33.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,79831,14,16,5,30.00,34.13,CHL,30.00,34.81,CHL,30.24,33.56,CHL,30.24,34.19,CHL,
2018_July_30_AlWajh1_4,2018_July_30,85285,14,16,10,30.00,34.25,CHL,30.00,34.75,CHL,30.24,32.75,HTR,30.24,34.31,CHL,
2018_July_30_AlWajh1_4,2018_July_30,90740,14,16,16,30.00,34.31,CHL,30.00,34.69,CHL,30.24,32.44,CHL,30.24,33.00,HTR,
2018_July_30_AlWajh1_4,2018_July_30,96195,14,16,21,30.00,34.44,CHL,30.00,34.69,CHL,30.24,32.25,CHL,30.24,32.44,HTR,
2018_July_30_AlWajh1_4,2018_July_30,101656,14,16,27,30.00,34.50,CHL,30.00,34.63,CHL,30.24,32.13,CHL,30.24,32.25,CHL,
2018_July_30_AlWajh1_4,2018_July_30,107115,14,16,32,30.00,34.50,CHL,30.00,34.63,CHL,30.24,32.06,CHL,30.24,32.06,CHL,
2018_July_30_AlWajh1_4,2018_July_30,112574,14,16,37,30.00,34.56,CHL,30.00,34.56,CHL,30.24,32.06,CHL,30.24,32.00,CHL,
2018_July_30_AlWajh1_4,2018_July_30,118033,14,16,43,30.00,34.63,CHL,30.00,34.56,CHL,30.24,32.00,CHL,30.24,32.00,CHL,
2018_July_30_AlWajh1_4,2018_July_30,123494,14,16,50,30.00,34.50,CHL,30.00,34.69,CHL,30.24,32.00,CHL,30.24,31.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,130442,14,16,55,30.00,33.50,HTR,30.00,34.88,CHL,30.24,31.94,CHL,30.24,31.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,135899,14,17,1,30.00,33.13,CHL,30.00,35.00,CHL,30.24,31.94,CHL,30.24,31.94,CHL,
2018_July_30_AlWajh1_4,2018_July_30,141356,14,17,6,30.00,31.87,HTR,30.00,35.13,CHL,30.24,31.94,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,146820,14,17,12,30.00,31.50,HTR,30.00,35.25,CHL,30.24,31.94,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,152278,14,17,17,30.00,31.50,CHL,30.00,35.38,CHL,30.24,31.94,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,157739,14,17,23,30.00,31.50,CHL,30.00,35.50,CHL,30.24,31.94,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,163195,14,17,28,30.00,31.50,CHL,30.00,35.63,CHL,30.24,31.94,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,168653,14,17,34,30.00,31.50,CHL,30.00,35.63,CHL,30.24,31.94,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,174114,14,17,39,30.00,31.50,CHL,30.00,35.44,CHL,30.24,31.87,CHL,30.24,31.87,CHL,
2018_July_30_AlWajh1_4,2018_July_30,179572,14,17,45,30.00,31.44,CHL,30.00,33.19,HTR,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,185032,14,17,52,30.00,31.44,CHL,30.00,32.19,HTR,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,192945,14,17,58,30.00,31.50,CHL,30.00,31.62,HTR,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,198408,14,18,3,30.00,31.44,CHL,30.00,31.44,CHL,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,203864,14,18,9,30.00,31.44,CHL,30.00,31.31,CHL,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,209319,14,18,14,30.00,31.44,CHL,30.00,31.25,CHL,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,214775,14,18,20,30.00,31.44,CHL,30.00,31.19,CHL,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,220238,14,18,25,30.00,31.44,CHL,30.00,31.19,CHL,30.24,31.87,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,225845,14,18,31,30.00,31.44,CHL,30.00,31.12,CHL,30.24,31.81,CHL,30.24,31.81,CHL,
2018_July_30_AlWajh1_4,2018_July_30,231304,14,18,36,30.00,31.44,CHL,30.00,31.12,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,236762,14,18,42,30.00,31.44,CHL,30.00,31.12,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,242219,14,18,47,30.00,31.44,CHL,30.00,31.12,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,247680,14,18,56,30.00,31.37,CHL,30.00,31.12,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,256705,14,19,2,30.00,31.37,CHL,30.00,31.06,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,262163,14,19,7,30.00,31.37,CHL,30.00,31.12,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,267620,14,19,13,30.00,31.37,CHL,30.00,31.06,CHL,30.24,31.81,CHL,30.24,31.75,CHL,
2018_July_30_AlWajh1_4,2018_July_30,273083,14,19,18,30.00,31.37,CHL,30.00,31.06,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,278540,14,19,24,30.00,31.37,CHL,30.00,31.06,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,283998,14,19,29,30.00,31.37,CHL,30.00,31.06,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,289455,14,19,35,30.00,31.37,CHL,30.00,31.06,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,294919,14,19,40,30.00,31.31,CHL,30.00,31.06,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,300377,14,19,46,30.00,31.31,CHL,30.00,31.06,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,305836,14,19,51,30.00,31.31,CHL,30.00,31.00,CHL,30.24,31.75,CHL,30.24,31.69,CHL,
2018_July_30_AlWajh1_4,2018_July_30,311292,14,20,1,30.00,31.31,CHL,30.00,31.00,CHL,30.24,31.75,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,321427,14,20,7,30.00,31.31,CHL,30.00,31.00,CHL,30.24,31.69,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,326887,14,20,12,30.00,31.31,CHL,30.00,31.00,CHL,30.24,31.69,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,332492,14,20,18,30.00,31.25,CHL,30.00,31.00,CHL,30.24,31.69,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,337950,14,20,23,30.00,31.25,CHL,30.00,31.00,CHL,30.24,31.69,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,343408,14,20,29,30.00,31.25,CHL,30.00,31.00,CHL,30.24,31.69,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,348871,14,20,34,30.00,31.25,CHL,30.00,30.94,CHL,30.24,31.69,CHL,30.24,31.62,CHL,
2018_July_30_AlWajh1_4,2018_July_30,354328,14,20,40,30.00,31.25,CHL,30.00,30.94,CHL,30.24,31.69,CHL,30.24,31.56,CHL,
2018_July_30_AlWajh1_4,2018_July_30,359785,14,20,45,30.00,31.25,CHL,30.00,30.94,CHL,30.24,31.69,CHL,30.24,31.56,CHL,
2018_July_30_AlWajh1_4,2018_July_30,365241,14,20,51,30.00,31.25,CHL,30.00,30.94,CHL,30.24,31.62,CHL,30.24,31.56,CHL,
2018_July_30_AlWajh1_4,2018_July_30,370704,14,20,56,30.00,31.19,CHL,30.00,30.94,CHL,30.24,31.62,CHL,30.24,31.56,CHL,
2018_July_30_AlWajh1_4,2018_July_30,376164,14,21,3,30.00,31.19,CHL,30.00,30.94,CHL,30.32,31.62,CHL,30.32,31.56,CHL,
2018_July_30_AlWajh1_4,2018_July_30,382968,14,21,8,30.00,31.19,CHL,30.00,30.87,CHL,30.32,31.62,CHL,30.32,31.56,CHL,
