PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_Aug_04_Yanbu5_8,2018_August_5,386672,14,54,8,31.67,34.63,CHL,31.67,35.81,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,397124,14,54,13,31.67,34.63,CHL,31.67,35.75,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,402582,14,54,19,31.67,34.56,CHL,31.67,35.69,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,408040,14,54,24,31.67,34.56,CHL,31.67,35.63,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,413502,14,54,29,31.67,34.56,CHL,31.67,35.56,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,418959,14,54,35,31.67,34.56,CHL,31.67,35.56,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,424417,14,54,40,31.67,34.56,CHL,31.67,35.56,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,429875,14,54,46,31.67,34.50,CHL,31.67,35.50,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,435361,14,54,51,31.67,34.50,CHL,31.67,35.44,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,440819,14,54,57,31.67,34.50,CHL,31.67,35.44,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,446276,14,55,2,31.67,34.50,CHL,31.67,35.44,CHL,32.50,33.75,CHL,32.50,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,451733,14,55,8,31.84,34.50,CHL,31.84,35.44,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,457451,14,55,13,31.84,34.50,CHL,31.84,35.44,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,462914,14,55,19,31.84,34.50,CHL,31.84,35.38,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,468371,14,55,24,31.84,34.44,CHL,31.84,35.38,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,473829,14,55,30,31.84,34.50,CHL,31.84,35.38,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,479287,14,55,35,31.84,34.44,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,484749,14,55,41,31.84,34.44,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,490207,14,55,46,31.84,34.50,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,495664,14,55,52,31.84,34.50,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,501122,14,55,57,31.84,34.50,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,506584,14,56,3,31.84,34.50,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,512040,14,56,9,31.84,34.44,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,518882,14,56,15,31.84,34.50,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,524340,14,56,20,31.84,34.50,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,529798,14,56,26,31.84,34.50,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,535260,14,56,31,31.84,34.50,CHL,31.84,35.31,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,540718,14,56,37,31.84,34.56,CHL,31.84,35.31,CHL,32.75,33.63,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,546174,14,56,42,31.84,34.56,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,551632,14,56,48,31.84,34.50,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,557094,14,56,53,31.84,34.56,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,562552,14,56,59,31.84,34.56,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,568010,14,57,4,31.84,34.56,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,573466,14,57,12,31.84,34.50,CHL,31.84,35.25,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,581444,14,57,17,31.84,34.56,CHL,31.84,35.19,CHL,32.75,33.69,CHL,32.75,33.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,586908,14,57,23,31.84,34.56,CHL,31.84,35.19,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,592366,14,57,28,31.84,34.56,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,597823,14,57,34,31.84,34.56,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,603281,14,57,39,31.84,34.50,CHL,31.84,35.13,CHL,32.75,33.69,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,608743,14,57,45,31.84,34.50,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,614201,14,57,50,31.84,34.50,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,619659,14,57,56,31.84,34.56,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,625116,14,58,1,31.84,34.56,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,630578,14,58,7,31.84,34.56,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,636034,14,58,16,31.84,34.56,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,645136,14,58,21,31.84,34.63,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,650593,14,58,27,31.84,34.63,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,656051,14,58,32,31.84,34.63,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,661513,14,58,38,31.84,34.63,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,666971,14,58,43,31.84,34.69,CHL,31.84,35.13,CHL,32.75,33.75,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,672429,14,58,48,31.84,34.63,CHL,31.84,35.13,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,677885,14,58,54,31.84,34.69,CHL,31.84,35.19,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,683348,14,58,59,31.84,34.69,CHL,31.84,35.19,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,688830,14,59,5,31.84,34.75,CHL,31.84,35.19,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,694287,14,59,10,31.84,34.81,CHL,31.84,35.25,CHL,32.75,33.81,CHL,32.75,33.63,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,699745,14,59,21,31.84,34.75,CHL,31.84,35.25,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,709980,14,59,26,31.84,34.81,CHL,31.84,35.19,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,715438,14,59,32,31.84,34.81,CHL,31.84,35.19,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,720894,14,59,37,31.84,34.75,CHL,31.84,35.13,CHL,32.75,33.81,CHL,32.75,33.63,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,726352,14,59,42,31.84,34.75,CHL,31.84,35.13,CHL,32.75,33.81,CHL,32.75,33.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,731810,14,59,48,31.84,34.75,CHL,31.84,35.06,CHL,32.75,33.88,CHL,32.75,33.63,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,737272,14,59,53,31.84,34.75,CHL,31.84,35.06,CHL,32.75,33.88,CHL,32.75,33.63,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,742755,14,59,59,31.84,34.69,CHL,31.84,35.00,CHL,32.75,33.88,CHL,32.75,33.63,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,748212,15,0,4,31.84,34.69,CHL,31.84,35.00,CHL,32.75,33.94,CHL,32.75,33.69,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,753668,15,0,10,31.84,34.69,CHL,31.84,34.94,CHL,32.75,33.94,CHL,32.75,33.75,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,759129,15,0,15,31.84,34.69,CHL,31.84,34.94,CHL,32.75,34.00,CHL,32.75,32.69,HTR,
2018_Aug_04_Yanbu5_8,2018_August_5,764585,15,0,21,32.00,34.69,CHL,32.00,34.94,CHL,33.00,34.06,CHL,33.00,31.56,HTR,
2018_Aug_04_Yanbu5_8,2018_August_5,770296,15,0,26,32.00,34.69,CHL,32.00,34.94,CHL,33.00,34.06,CHL,33.00,31.19,HTR,
2018_Aug_04_Yanbu5_8,2018_August_5,775752,15,0,32,32.00,34.69,CHL,32.00,34.94,CHL,33.00,34.06,CHL,33.00,31.37,HTR,
2018_Aug_04_Yanbu5_8,2018_August_5,781207,15,0,37,32.00,34.69,CHL,32.00,34.88,CHL,33.00,32.50,HTR,33.00,31.81,OFF,
2018_Aug_04_Yanbu5_8,2018_August_5,786685,15,0,43,32.00,34.69,CHL,32.00,34.88,CHL,33.00,31.62,HTR,33.00,32.25,OFF,
2018_Aug_04_Yanbu5_8,2018_August_5,792144,15,0,48,32.00,34.69,CHL,32.00,34.88,CHL,33.00,31.37,HTR,33.00,32.63,OFF,
2018_Aug_04_Yanbu5_8,2018_August_5,797602,15,0,54,32.00,34.69,CHL,32.00,34.88,CHL,33.00,31.31,HTR,33.00,33.00,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,803060,15,0,59,32.00,34.69,CHL,32.00,33.81,HTR,33.00,31.25,HTR,33.00,33.31,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,808521,15,1,5,32.00,34.69,CHL,32.00,32.25,HTR,33.00,31.25,HTR,33.00,33.63,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,813978,15,1,10,32.00,34.75,CHL,32.00,31.81,HTR,33.00,31.31,HTR,33.00,33.94,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,819435,15,1,16,32.00,34.75,CHL,32.00,31.50,HTR,33.00,31.31,HTR,33.00,34.25,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,824892,15,1,22,32.00,34.75,CHL,32.00,31.50,HTR,33.00,31.31,HTR,33.00,34.50,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,831724,15,1,28,32.00,32.00,HTR,32.00,31.62,OFF,33.00,31.37,HTR,33.00,34.88,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,837181,15,1,33,32.00,31.62,HTR,32.00,31.69,OFF,33.00,31.37,HTR,33.00,35.06,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,842637,15,1,39,32.00,31.50,HTR,32.00,31.69,HTR,33.00,31.44,HTR,33.00,35.25,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,848092,15,1,44,32.00,31.44,HTR,32.00,31.81,CHL,33.00,31.44,HTR,33.00,35.44,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,853549,15,1,50,32.00,31.44,HTR,32.00,31.87,CHL,33.00,31.44,HTR,33.00,35.56,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,859008,15,1,55,32.00,31.44,HTR,32.00,31.94,CHL,33.00,31.44,HTR,33.00,35.75,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,864462,15,2,1,32.00,31.44,HTR,32.00,32.00,CHL,33.00,31.50,HTR,33.00,35.88,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,869916,15,2,6,32.00,31.44,HTR,32.00,32.06,CHL,33.00,31.50,HTR,33.00,35.88,CHL,
2018_Aug_04_Yanbu5_8,2018_August_5,875370,15,2,12,32.00,31.44,HTR,32.00,32.13,CHL,33.00,31.50,HTR,33.00,34.31,HTR,
2018_Aug_04_Yanbu5_8,2018_August_5,880830,15,2,17,32.00,31.44,HTR,32.00,32.25,CHL,33.00,31.56,HTR,33.00,32.50,HTR,
