Geno,Site,ED50,Species,MMM,Relative_Threshold
5,AlFahal,37.79505506,Porites,30.76,7.035055055
6,AlFahal,38.31383414,Porites,30.76,7.553834141
7,AlFahal,36.25600033,Porites,30.76,5.496000329
1,Obock,35.53489016,Stylophora,30.9,4.634890158
2,Obock,35.57273793,Stylophora,30.9,4.672737925
3,Obock,34.60840551,Stylophora,30.9,3.708405508
4,Obock,36.17029823,Stylophora,30.9,5.27029823
5,Obock,35.67727912,Stylophora,30.9,4.777279118
6,Obock,35.44904708,Stylophora,30.9,4.549047077
7,Obock,35.76405541,Stylophora,30.9,4.864055412
1,Eilat,33.95505647,Stylophora,27.01,6.945056471
2,Eilat,34.97377196,Stylophora,27.01,7.963771958
3,Eilat,34.66098296,Stylophora,27.01,7.650982958
4,Eilat,34.08811397,Stylophora,27.01,7.078113975
5,Eilat,34.69191763,Stylophora,27.01,7.681917632
6,Eilat,35.40285739,Stylophora,27.01,8.392857389
7,Eilat,35.25133188,Stylophora,27.01,8.241331884
1,AlWajh,35.73355632,Stylophora,30.04,5.693556317
2,AlWajh,36.58395492,Stylophora,30.04,6.543954918
3,AlWajh,36.78469288,Stylophora,30.04,6.744692883
4,AlWajh,36.05087063,Stylophora,30.04,6.010870629
5,AlWajh,36.55405106,Stylophora,30.04,6.514051059
6,AlWajh,37.32938952,Stylophora,30.04,7.289389524
7,AlWajh,36.15751613,Stylophora,30.04,6.117516132
1,Yanbu,36.69306778,Stylophora,29.71,6.983067784
2,Yanbu,36.43111661,Stylophora,29.71,6.72111661
3,Yanbu,36.51408491,Stylophora,29.71,6.804084911
4,Yanbu,37.16996984,Stylophora,29.71,7.459969838
5,Yanbu,36.41014954,Stylophora,29.71,6.700149538
6,Yanbu,36.86540845,Stylophora,29.71,7.155408447
7,Yanbu,37.99005271,Stylophora,29.71,8.280052713
1,AlFahal,37.21639079,Stylophora,30.76,6.456390788
2,AlFahal,37.50521097,Stylophora,30.76,6.745210974
3,AlFahal,37.68661808,Stylophora,30.76,6.926618077
4,AlFahal,36.89908776,Stylophora,30.76,6.139087761
5,AlFahal,37.08227747,Stylophora,30.76,6.322277473
6,AlFahal,36.97009706,Stylophora,30.76,6.210097058
7,AlFahal,37.19446473,Stylophora,30.76,6.434464735
