PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_31_AlWajh1_4,2018_August_4,242569,14,39,54,30.00,35.06,CHL,30.00,41.00,CHL,30.57,31.69,CHL,30.57,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,248029,14,40,0,30.00,32.81,HTR,30.00,41.00,CHL,30.57,31.69,CHL,30.57,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,253489,14,40,5,30.00,-127.00,HTR,30.00,40.94,CHL,30.65,-127.00,HTR,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,259165,14,40,11,30.00,32.06,CHL,30.00,40.88,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,264628,14,40,16,30.00,32.00,CHL,30.00,40.63,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,270093,14,40,22,30.00,31.94,CHL,30.00,36.13,HTR,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,275551,14,40,27,30.00,31.94,CHL,30.00,34.06,HTR,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,281010,14,40,33,30.00,31.94,CHL,30.00,33.06,HTR,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,286468,14,40,38,30.00,31.94,CHL,30.00,32.56,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,291932,14,40,44,30.00,31.87,CHL,30.00,32.25,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,297392,14,40,49,30.00,31.94,CHL,30.00,32.06,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,302851,14,40,55,30.00,31.87,CHL,30.00,31.94,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,308310,14,41,0,30.00,31.87,CHL,30.00,31.87,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,313769,14,41,7,30.00,31.87,CHL,30.00,31.81,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,320735,14,41,12,30.00,31.87,CHL,30.00,31.81,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
2018_July_31_AlWajh1_4,2018_August_4,326194,14,41,18,30.00,31.87,CHL,30.00,31.75,CHL,30.65,31.69,CHL,30.65,31.37,CHL,
