RecNum	DateTime	DJI_Tank-2
1	02/29/20 10:00:00 am	26.879
2	02/29/20 10:01:00 am	26.879
3	02/29/20 10:02:00 am	26.879
4	02/29/20 10:03:00 am	26.879
5	02/29/20 10:04:00 am	26.879
6	02/29/20 10:05:00 am	26.781
7	02/29/20 10:06:00 am	26.879
8	02/29/20 10:07:00 am	26.879
9	02/29/20 10:08:00 am	26.977
10	02/29/20 10:09:00 am	27.075
11	02/29/20 10:10:00 am	27.075
12	02/29/20 10:11:00 am	27.075
13	02/29/20 10:12:00 am	27.173
14	02/29/20 10:13:00 am	27.173
15	02/29/20 10:14:00 am	27.173
16	02/29/20 10:15:00 am	27.173
17	02/29/20 10:16:00 am	27.272
18	02/29/20 10:17:00 am	27.272
19	02/29/20 10:18:00 am	27.272
20	02/29/20 10:19:00 am	27.272
21	02/29/20 10:20:00 am	27.370
22	02/29/20 10:21:00 am	27.370
23	02/29/20 10:22:00 am	27.370
24	02/29/20 10:23:00 am	27.370
25	02/29/20 10:24:00 am	27.468
26	02/29/20 10:25:00 am	27.468
27	02/29/20 10:26:00 am	27.468
28	02/29/20 10:27:00 am	27.468
29	02/29/20 10:28:00 am	27.468
30	02/29/20 10:29:00 am	27.567
31	02/29/20 10:30:00 am	27.567
32	02/29/20 10:31:00 am	27.665
33	02/29/20 10:32:00 am	27.665
34	02/29/20 10:33:00 am	27.665
35	02/29/20 10:34:00 am	27.665
36	02/29/20 10:35:00 am	27.764
37	02/29/20 10:36:00 am	27.764
38	02/29/20 10:37:00 am	27.764
39	02/29/20 10:38:00 am	27.764
40	02/29/20 10:39:00 am	27.764
41	02/29/20 10:40:00 am	27.862
42	02/29/20 10:41:00 am	27.862
43	02/29/20 10:42:00 am	27.862
44	02/29/20 10:43:00 am	27.961
45	02/29/20 10:44:00 am	27.961
46	02/29/20 10:45:00 am	27.961
47	02/29/20 10:46:00 am	28.060
48	02/29/20 10:47:00 am	28.060
49	02/29/20 10:48:00 am	28.060
50	02/29/20 10:49:00 am	28.060
51	02/29/20 10:50:00 am	28.060
52	02/29/20 10:51:00 am	28.159
53	02/29/20 10:52:00 am	28.159
54	02/29/20 10:53:00 am	28.159
55	02/29/20 10:54:00 am	28.159
56	02/29/20 10:55:00 am	28.258
57	02/29/20 10:56:00 am	28.258
58	02/29/20 10:57:00 am	28.258
59	02/29/20 10:58:00 am	28.258
60	02/29/20 10:59:00 am	28.258
61	02/29/20 11:00:00 am	28.258
62	02/29/20 11:01:00 am	28.357
63	02/29/20 11:02:00 am	28.357
64	02/29/20 11:03:00 am	28.357
65	02/29/20 11:04:00 am	28.357
66	02/29/20 11:05:00 am	28.357
67	02/29/20 11:06:00 am	28.357
68	02/29/20 11:07:00 am	28.456
69	02/29/20 11:08:00 am	28.456
70	02/29/20 11:09:00 am	28.456
