PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_Aug_04_Yanbu5_8,2018_August_4,27089,14,47,57,31.50,31.31,CHL,31.50,31.25,OFF,32.25,31.12,OFF,32.25,30.75,OFF,
2018_Aug_04_Yanbu5_8,2018_August_4,32761,14,48,2,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,38210,14,48,7,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,43660,14,48,13,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,49115,14,48,18,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,54564,14,48,24,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,60015,14,48,33,31.50,31.37,CHL,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,69105,14,48,38,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,74561,14,48,44,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,80012,14,48,49,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,85462,14,48,55,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,90911,14,49,0,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,96361,14,49,6,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,101815,14,49,11,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,107266,14,49,17,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,112716,14,49,22,31.50,31.37,CHL,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,118169,14,49,27,31.50,31.31,HTR,31.50,31.25,HTR,32.25,31.12,HTR,32.25,30.75,HTR,
PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_Aug_04_Yanbu5_8,2018_August_4,29347,14,50,6,31.50,31.37,CHL,31.50,31.31,CHL,32.25,31.19,OFF,32.25,30.81,OFF,
2018_Aug_04_Yanbu5_8,2018_August_4,34939,14,50,11,31.50,31.37,HTR,31.50,31.31,HTR,32.25,31.25,HTR,32.25,30.81,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,40389,14,50,17,31.50,31.37,HTR,31.50,31.31,HTR,32.25,31.25,HTR,32.25,30.81,HTR,
2018_Aug_04_Yanbu5_8,2018_August_4,45844,14,50,22,31.50,31.37,HTR,31.50,31.31,HTR,32.25,31.25,HTR,32.25,30.87,HTR,
