PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_Aug_04_Yanbu1_4,2018_August_5,25784,14,45,55,30.00,36.44,CHL,30.00,35.63,CHL,30.73,35.94,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,31916,14,46,0,30.00,36.44,CHL,30.00,35.63,CHL,30.73,35.88,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,37372,14,46,6,30.00,35.25,HTR,30.00,35.56,CHL,30.73,35.75,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,42827,14,46,11,30.00,35.63,CHL,30.00,35.56,CHL,30.73,34.56,HTR,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,48274,14,46,17,30.00,35.56,CHL,30.00,35.50,CHL,30.73,34.56,CHL,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,53716,14,46,22,30.00,35.56,CHL,30.00,35.38,CHL,30.73,34.56,CHL,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,59159,14,46,28,30.00,35.56,CHL,30.00,85.00,CHL,30.73,35.31,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,64620,14,46,34,30.00,35.56,CHL,30.00,33.81,HTR,30.73,35.25,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,71440,14,46,40,30.00,35.50,CHL,30.00,34.06,CHL,30.73,35.13,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,76899,14,46,45,30.00,35.50,CHL,30.00,33.88,CHL,30.73,35.06,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,82355,14,46,51,30.00,35.50,CHL,30.00,32.94,HTR,30.73,35.00,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,87810,14,46,56,30.00,35.50,CHL,30.00,32.69,CHL,30.73,34.94,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,93266,14,47,2,30.00,35.50,CHL,30.00,34.88,CHL,30.73,34.63,CHL,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,98713,14,47,7,30.00,35.44,CHL,30.00,34.88,CHL,30.73,34.63,CHL,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,104156,14,47,13,30.00,34.81,CHL,30.00,34.63,CHL,30.73,-127.00,HTR,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,109571,14,47,18,30.00,35.44,CHL,30.00,34.75,CHL,30.73,34.56,CHL,30.73,-127.00,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,115017,14,47,24,30.00,35.44,CHL,30.00,32.25,HTR,30.73,34.69,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,120479,14,47,29,30.00,35.44,CHL,30.00,32.31,CHL,30.73,34.69,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,126096,14,47,37,30.00,35.44,CHL,30.00,32.38,CHL,30.73,34.69,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,134023,14,47,43,30.00,33.44,HTR,30.00,32.56,CHL,30.73,34.63,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,139479,14,47,48,30.00,32.75,HTR,30.00,32.75,CHL,30.73,34.56,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,144942,14,47,54,30.00,32.31,CHL,30.00,32.81,CHL,30.73,34.50,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,150400,14,47,59,30.00,32.13,CHL,30.00,32.88,CHL,30.73,34.50,CHL,30.73,34.56,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,155857,14,48,4,30.00,32.06,CHL,30.00,32.94,CHL,30.73,34.56,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,161312,14,48,10,30.00,32.06,CHL,30.00,33.00,CHL,30.73,33.63,HTR,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,166767,14,48,15,30.00,32.13,CHL,30.00,33.00,CHL,30.73,32.81,HTR,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,172225,14,48,21,30.00,32.19,CHL,30.00,33.06,CHL,30.73,32.50,CHL,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,177682,14,48,26,30.00,32.25,CHL,30.00,33.13,CHL,30.73,32.06,HTR,30.73,34.63,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,183140,14,48,32,30.00,32.25,CHL,30.00,33.13,CHL,30.73,31.94,CHL,30.73,34.19,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,188598,14,48,41,30.00,32.31,CHL,30.00,33.19,CHL,30.73,31.94,CHL,30.73,32.88,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,197643,14,48,46,30.00,32.38,CHL,30.00,33.19,CHL,30.73,31.94,CHL,30.73,32.31,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,203098,14,48,52,30.00,32.44,CHL,30.00,33.25,CHL,30.73,31.94,CHL,30.73,32.13,HTR,
2018_Aug_04_Yanbu1_4,2018_August_5,208550,14,48,57,30.00,32.50,CHL,30.00,33.31,CHL,30.73,31.94,CHL,30.73,32.06,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,214006,14,49,3,30.00,32.56,CHL,30.00,33.31,CHL,30.73,31.94,CHL,30.73,32.00,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,219466,14,49,8,30.00,32.63,CHL,30.00,33.44,CHL,30.73,31.87,CHL,30.73,31.94,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,225076,14,49,14,30.00,32.69,CHL,30.00,33.44,CHL,30.73,31.81,CHL,30.73,31.94,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,230534,14,49,19,30.00,32.69,CHL,30.00,33.50,CHL,30.73,31.81,CHL,30.73,31.94,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,235991,14,49,25,30.00,32.75,CHL,30.00,33.56,CHL,30.73,31.87,CHL,30.73,31.94,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,241446,14,49,30,30.00,32.81,CHL,30.00,33.63,CHL,30.73,31.87,CHL,30.73,31.94,CHL,
2018_Aug_04_Yanbu1_4,2018_August_5,246906,14,49,36,30.00,32.81,CHL,30.00,33.69,CHL,30.73,31.87,CHL,30.73,31.94,CHL,
