PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_30_AlWajh5_8,2018_July_30,184979,14,11,1,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,190437,14,11,8,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,197252,14,11,13,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,202706,14,11,18,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,208162,14,11,24,30.33,32.19,CHL,30.33,31.87,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,213617,14,11,29,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,219077,14,11,35,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,224533,14,11,40,30.33,32.19,CHL,30.33,31.94,CHL,30.50,30.81,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,229988,14,11,46,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,HTR,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,235442,14,11,51,30.33,32.19,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,240902,14,11,57,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,246358,14,12,2,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
2018_July_30_AlWajh5_8,2018_July_30,251811,14,12,10,30.33,32.13,CHL,30.33,31.87,CHL,30.50,30.75,CHL,30.50,30.50,CHL,
