Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
KS4-36A,AlFahal,Stylophora,4,36,A,80,100,80,80
KS4-36B,AlFahal,Stylophora,4,36,B,80,80,80,80
KS4-39A,AlFahal,Stylophora,4,39,A,60,60,60,60
KS4-39B,AlFahal,Stylophora,4,39,B,0,0,0,0
KS5-30A,AlFahal,Stylophora,5,30,A,100,100,100,100
KS5-30B,AlFahal,Stylophora,5,30,B,100,100,100,100
KS5-33A,AlFahal,Stylophora,5,33,A,80,100,100,100
KS5-33B,AlFahal,Stylophora,5,33,B,100,100,100,100
KS5-36A,AlFahal,Stylophora,5,36,A,100,100,80,100
KS5-36B,AlFahal,Stylophora,5,36,B,100,80,80,80
KS5-39A,AlFahal,Stylophora,5,39,A,20,40,20,20
KS5-39B,AlFahal,Stylophora,5,39,B,0,20,0,0
KS6-30A,AlFahal,Stylophora,6,30,A,100,100,100,100
KS6-30B,AlFahal,Stylophora,6,30,B,100,100,100,100
KS6-33A,AlFahal,Stylophora,6,33,A,80,80,100,80
KS6-33B,AlFahal,Stylophora,6,33,B,100,100,100,100
KS6-36A,AlFahal,Stylophora,6,36,A,80,80,80,80
KS6-36B,AlFahal,Stylophora,6,36,B,80,80,80,80
KS6-39A,AlFahal,Stylophora,6,39,A,40,60,40,40
KS6-39B,AlFahal,Stylophora,6,39,B,0,0,0,0
KS7-30A,AlFahal,Stylophora,7,30,A,100,100,100,100
KS7-30B,AlFahal,Stylophora,7,30,B,100,100,100,100
KS7-33A,AlFahal,Stylophora,7,33,A,100,100,100,100
KS7-33B,AlFahal,Stylophora,7,33,B,100,100,100,100
KS7-36A,AlFahal,Stylophora,7,36,A,100,80,80,80
KS7-36B,AlFahal,Stylophora,7,36,B,80,80,80,80
KS7-39A,AlFahal,Stylophora,7,39,A,60,80,60,60
KS7-39B,AlFahal,Stylophora,7,39,B,80,80,80,80
OS1-30A,Obock,Stylophora,1,30,A,100,80,80,80
OS1-30B,Obock,Stylophora,1,30,B,100,100,100,100
OS1-33A,Obock,Stylophora,1,33,A,NA,NA,NA,NA
OS1-33B,Obock,Stylophora,1,33,B,100,100,100,100
OS1-36A,Obock,Stylophora,1,36,A,80,80,80,80
OS1-36B,Obock,Stylophora,1,36,B,60,80,60,60
OS1-39A,Obock,Stylophora,1,39,A,0,20,0,0
OS1-39B,Obock,Stylophora,1,39,B,40,60,40,40
OS2-30A,Obock,Stylophora,2,30,A,100,100,100,100
OS2-30B,Obock,Stylophora,2,30,B,80,60,80,80
OS2-33A,Obock,Stylophora,2,33,A,NA,NA,NA,NA
OS2-33B,Obock,Stylophora,2,33,B,80,80,80,80
OS2-36A,Obock,Stylophora,2,36,A,0,0,0,0
OS2-36B,Obock,Stylophora,2,36,B,40,60,60,60
OS2-39A,Obock,Stylophora,2,39,A,0,20,0,0
OS2-39B,Obock,Stylophora,2,39,B,0,20,0,0
OS3-30A,Obock,Stylophora,3,30,A,80,80,80,80
OS3-30B,Obock,Stylophora,3,30,B,100,80,80,80
OS3-33A,Obock,Stylophora,3,33,A,NA,NA,NA,NA
OS3-33B,Obock,Stylophora,3,33,B,NA,NA,NA,NA
OS3-36A,Obock,Stylophora,3,36,A,20,20,0,20
OS3-36B,Obock,Stylophora,3,36,B,40,60,40,40
OS3-39A,Obock,Stylophora,3,39,A,0,20,0,0
OS3-39B,Obock,Stylophora,3,39,B,0,0,0,0
OS4-30A,Obock,Stylophora,4,30,A,100,80,80,80
OS4-30B,Obock,Stylophora,4,30,B,100,100,100,100
OS4-33A,Obock,Stylophora,4,33,A,NA,NA,NA,NA
OS4-33B,Obock,Stylophora,4,33,B,NA,NA,NA,NA
OS4-36A,Obock,Stylophora,4,36,A,80,80,80,80
OS4-36B,Obock,Stylophora,4,36,B,40,60,40,40
OS4-39A,Obock,Stylophora,4,39,A,20,20,20,20
OS4-39B,Obock,Stylophora,4,39,B,0,0,0,0
OS5-30A,Obock,Stylophora,5,30,A,100,80,80,80
OS5-30B,Obock,Stylophora,5,30,B,100,60,80,80
OS5-33A,Obock,Stylophora,5,33,A,NA,NA,NA,NA
OS5-33B,Obock,Stylophora,5,33,B,NA,NA,NA,NA
OS5-36A,Obock,Stylophora,5,36,A,20,20,20,20
OS5-36B,Obock,Stylophora,5,36,B,0,20,20,20
OS5-39A,Obock,Stylophora,5,39,A,0,0,0,0
OS5-39B,Obock,Stylophora,5,39,B,0,0,0,0
OS6-30A,Obock,Stylophora,6,30,A,100,80,80,80
OS6-30B,Obock,Stylophora,6,30,B,80,60,80,80
OS6-33A,Obock,Stylophora,6,33,A,NA,NA,NA,NA
OS6-33B,Obock,Stylophora,6,33,B,NA,NA,NA,NA
OS6-36A,Obock,Stylophora,6,36,A,60,60,40,60
OS6-36B,Obock,Stylophora,6,36,B,20,40,20,20
OS6-39A,Obock,Stylophora,6,39,A,0,20,0,0
OS6-39B,Obock,Stylophora,6,39,B,0,20,0,0
OS7-30A,Obock,Stylophora,7,30,A,100,100,100,100
OS7-30B,Obock,Stylophora,7,30,B,100,100,100,100
OS7-33A,Obock,Stylophora,7,33,A,NA,NA,NA,NA
OS7-33B,Obock,Stylophora,7,33,B,NA,NA,NA,NA
OS7-36A,Obock,Stylophora,7,36,A,100,100,80,100
OS7-36B,Obock,Stylophora,7,36,B,100,100,100,100
OS7-39A,Obock,Stylophora,7,39,A,40,60,20,40
OS7-39B,Obock,Stylophora,7,39,B,20,40,20,20
WS1-30A,AlWajh,Stylophora,1,30,A,80,80,60,80
WS1-30B,AlWajh,Stylophora,1,30,B,100,100,100,100
WS1-33A,AlWajh,Stylophora,1,33,A,80,80,80,80
WS1-33B,AlWajh,Stylophora,1,33,B,100,80,100,100
WS1-36A,AlWajh,Stylophora,1,36,A,0,20,0,0
WS1-36B,AlWajh,Stylophora,1,36,B,20,20,0,20
WS1-39A,AlWajh,Stylophora,1,39,A,0,60,0,0
WS1-39B,AlWajh,Stylophora,1,39,B,20,40,0,20
WS2-30A,AlWajh,Stylophora,2,30,A,60,60,60,60
WS2-30B,AlWajh,Stylophora,2,30,B,80,80,100,80
WS2-33A,AlWajh,Stylophora,2,33,A,80,80,80,80
WS2-33B,AlWajh,Stylophora,2,33,B,80,80,100,80
WS2-36A,AlWajh,Stylophora,2,36,A,20,40,20,20
WS2-36B,AlWajh,Stylophora,2,36,B,20,20,20,20
WS2-39A,AlWajh,Stylophora,2,39,A,0,20,0,0
WS2-39B,AlWajh,Stylophora,2,39,B,20,40,0,20
WS3-30A,AlWajh,Stylophora,3,30,A,60,60,60,60
WS3-30B,AlWajh,Stylophora,3,30,B,80,80,100,80
WS3-33A,AlWajh,Stylophora,3,33,A,80,80,80,80
WS3-33B,AlWajh,Stylophora,3,33,B,80,80,100,80
WS3-36A,AlWajh,Stylophora,3,36,A,40,60,40,40
WS3-36B,AlWajh,Stylophora,3,36,B,40,40,20,40
WS3-39A,AlWajh,Stylophora,3,39,A,0,0,0,0
WS3-39B,AlWajh,Stylophora,3,39,B,0,20,0,0
WS4-30A,AlWajh,Stylophora,4,30,A,80,60,60,60
WS4-30B,AlWajh,Stylophora,4,30,B,80,80,100,80
