Site,Temp,Species,Geno,Rep,Label,Sym_cm2,,,,,,,
AlWajh,30,Acropora,1,B,WA1-30B,350034,,,,,,,
AlWajh,30,Acropora,2,B,WA2-30B,337331,,,,,,,
AlWajh,30,Acropora,3,B,WA3-30B,483757,,,,,,,
AlWajh,30,Acropora,4,B,WA4-30B,309327,,,,,,,
AlWajh,30,Acropora,5,B,WA5-30B,465201,,,,,,,
AlWajh,30,Acropora,6,B,WA6-30B,303146,,,,,,,
AlWajh,30,Acropora,7,B,WA7-30B,722065,,,,,,,
AlWajh,30,Pocillopora,1,B,WP1-30B,1702829,,,,,,,
AlWajh,30,Pocillopora,2,B,WP2-30B,733275,,,,,,,
AlWajh,30,Pocillopora,3,B,WP3-30B,729121,,,,,,,
AlWajh,30,Pocillopora,4,B,WP4-30B,1508961,,,,,,,
AlWajh,30,Pocillopora,5,B,WP5-30B,1024726,,,,,,,
AlWajh,30,Pocillopora,7,B,WP7-30B,650221,,,,,,,
Yanbu,30,Acropora,1,A,YA1-30A,298598,,,,,,,
Yanbu,30,Acropora,2,A,YA2-30A,125322,,,,,,,
Yanbu,30,Acropora,3,A,YA3-30A,152827,,,,,,,
Yanbu,30,Acropora,4,A,YA4-30A,123297,,,,,,,
Yanbu,30,Acropora,5,A,YA5-30A,350270,,,,,,,
Yanbu,30,Acropora,6,A,YA6-30A,171989,,,,,,,
Yanbu,30,Acropora,7,A,YA7-30A,264173,,,,,,,
AlWajh,33,Pocillopora,1,B,WP1-33B,1824430,,,,,,,
AlWajh,33,Pocillopora,2,B,WP2-33B,1846615,,,,,,,
AlWajh,33,Pocillopora,3,B,WP3-33B,486284,,,,,,,
AlWajh,33,Pocillopora,4,B,WP4-33B,1376426,,,,,,,
AlWajh,33,Pocillopora,5,B,WP5-33B,629450,,,,,,,
AlWajh,33,Pocillopora,6,B,WP6-33B,1268084,,,,,,,
AlWajh,33,Pocillopora,7,B,WP7-33B,771237,,,,,,,
Eilat,30,Acropora,1,A,EA1-30A,27468,,,,,,,
Eilat,30,Acropora,2,A,EA2-30A,40904,,,,,,,
Eilat,30,Acropora,3,A,EA3-30A,28108,,,,,,,
Eilat,30,Acropora,4,A,EA4-30A,34128,,,,,,,
Eilat,30,Acropora,5,A,EA5-30A,41253,,,,,,,
Eilat,30,Acropora,6,A,EA6-30A,31088,,,,,,,
Eilat,30,Acropora,7,A,EA7-30A,78337,,,,,,,
AlWajh,36,Pocillopora,1,B,WP1-36B,982087,,,,,,,
AlWajh,36,Pocillopora,2,B,WP2-36B,911716,,,,,,,
AlWajh,36,Pocillopora,3,B,WP3-36B,323158,,,,,,,
AlWajh,36,Pocillopora,4,B,WP4-36B,715338,,,,,,,
AlWajh,36,Pocillopora,5,B,WP5-36B,403858,,,,,,,
AlWajh,36,Pocillopora,6,B,WP6-36B,1610515,,,,,,,
AlWajh,36,Pocillopora,7,B,WP7-36B,304901,,,,,,,
AlWajh,33,Acropora,1,B,WA1-33B,190397,,,,,,,
AlWajh,33,Acropora,2,B,WA2-33B,357057,,,,,,,
AlWajh,33,Acropora,3,B,WA3-33B,254460,,,,,,,
AlWajh,33,Acropora,4,B,WA4-33B,172049,,,,,,,
AlWajh,33,Acropora,5,B,WA5-33B,111808,,,,,,,
AlWajh,33,Acropora,6,B,WA6-33B,280297,,,,,,,
AlWajh,33,Acropora,7,B,WA7-33B,190256,,,,,,,-0.51
AlWajh,39,Pocillopora,1,B,WP1-39B,72044,,,,,,,
AlWajh,39,Pocillopora,2,B,WP2-39B,63854,,,,,,,
AlWajh,39,Pocillopora,3,B,WP3-39B,38329,,,,,,,
AlWajh,39,Pocillopora,4,B,WP4-39B,25459,,,,,,,
AlWajh,39,Pocillopora,5,B,WP5-39B,11739,,,,,,,
AlWajh,39,Pocillopora,6,B,WP6-39B,98793,,,,,,,
AlWajh,39,Pocillopora,7,B,WP7-39B,16397,,,,,,,
Yanbu,33,Acropora,1,A,YA1-33A,248810,,,,,,,
Yanbu,33,Acropora,2,A,YA2-33A,38585,,,,,,,
Yanbu,33,Acropora,3,A,YA3-33A,73048,,,,,,,
Yanbu,33,Acropora,4,A,YA4-33A,109256,,,,,,,
Yanbu,33,Acropora,5,A,YA5-33A,109938,,,,,,,
Yanbu,33,Acropora,6,A,YA6-33A,71356,,,,,,,
Yanbu,33,Acropora,7,A,YA7-33A,210064,,,,,,,
Yanbu,30,Pocillopora,1,A,YP1-30A,624645,,,,,,,
Yanbu,30,Pocillopora,2,A,YP2-30A,820003,,,,,,,
