Site,Temp,Species,Geno,Rep,Label,Chl_cm2
Eilat,39,Acropora,1,A,EA1-39A,0.307
Eilat,39,Acropora,2,A,EA2-39A,0.281
Eilat,39,Acropora,3,A,EA3-39A,0.428
Eilat,39,Acropora,4,A,EA4-39A,0.669
Eilat,39,Acropora,5,A,EA5-39A,0.463
Eilat,39,Acropora,6,A,EA6-39A,0.42
Eilat,39,Acropora,7,A,EA7-39A,0.274
Yanbu,30,Acropora,1,A,YA1-30A,1.794
Yanbu,30,Acropora,2,A,YA2-30A,0.751
Yanbu,30,Acropora,3,A,YA3-30A,1.057
Yanbu,30,Acropora,4,A,YA4-30A,1.066
Yanbu,30,Acropora,5,A,YA5-30A,2.183
Yanbu,30,Acropora,6,A,YA6-30A,1.434
Yanbu,30,Acropora,7,A,YA7-30A,2.02
Yanbu,33,Acropora,1,A,YA1-33A,1.422
Yanbu,33,Acropora,2,A,YA2-33A,0.789
Yanbu,33,Acropora,3,A,YA3-33A,0.875
Yanbu,33,Acropora,4,A,YA4-33A,1.281
Yanbu,33,Acropora,5,A,YA5-33A,1.219
Yanbu,33,Acropora,6,A,YA6-33A,1.175
Yanbu,33,Acropora,7,A,YA7-33A,1.466
Yanbu,36,Acropora,1,A,YA1-36A,1.079
Yanbu,36,Acropora,2,A,YA2-36A,1.141
Yanbu,36,Acropora,3,A,YA3-36A,1.304
Yanbu,36,Acropora,4,A,YA4-36A,1.505
Yanbu,36,Acropora,5,A,YA5-36A,1.961
Yanbu,36,Acropora,6,A,YA6-36A,1.51
Yanbu,36,Acropora,7,A,YA7-36A,1.097
Yanbu,39,Acropora,1,A,YA1-39A,1.025
Yanbu,39,Acropora,2,A,YA2-39A,0.936
Yanbu,39,Acropora,3,A,YA3-39A,1.162
Yanbu,39,Acropora,4,A,YA4-39A,0.716
Yanbu,39,Acropora,5,A,YA5-39A,0.772
Yanbu,39,Acropora,6,A,YA6-39A,0.896
Yanbu,39,Acropora,7,A,YA7-39A,1.218
